Authors	Record Count	
Lipinski M	428	
Lobanov A	428	
Lohmann W	428	
Lokhtin I	428	
Longo E	428	
Loukas N	428	
Loveless R	428	
Lowette S	428	
Lychkovskaya N	428	
Maier B	428	
Majumder D	428	
Majumder G	428	
Malakhov A	428	
Mankel R	428	
Mans J	428	
Manthos N	428	
Mantovani G	428	
Maravin Y	428	
Marinelli N	428	
Marini AC	428	
Martelli A	428	
Marzocchi B	428	
Mastrolorenzo L	428	
Matchev K	428	
Mazumdar K	428	
Mei K	428	
Meinhard MT	428	
Menasce D	428	
Merschmeyer M	428	
Mersi S	428	
Meschi E	428	
Meschini M	428	
Messineo A	428	
Meyer AB	428	
Moortgat S	428	
Moraes A	428	
Moroni L	428	
Murzin V	428	
Nandan S	428	
Nash J	428	
Neu C	428	
Neumeister N	428	
Newbold DM	428	
Ngadiuba J	428	
Niedziela M	428	
Nikitenko A	428	
Noonan D	428	
Nowack A	428	
Obraztsov S	428	
Ojalvo I	428	
Olaiya E	428	
Onengut G	428	
Oreshkin V	428	
Orfanelli S	428	
Orimoto T	428	
Orsini L	428	
Ortona G	428	
Padley BP	428	
Paganis E	428	
Palichik V	428	
Paramatti R	428	
Pashenkov A	428	
Pastika N	428	
Pasztor G	428	
Pata J	428	
Patterson JR	428	
Pedrini D	428	
Pellett D	428	
Peltola T	428	
Perelygin V	428	
Pesaresi M	428	
Petrilli A	428	
Petrov V	428	
Petyt D	428	
Pinna D	428	
Pistone C	428	
Pook T	428	
Pozdnyakov A	428	
Prosper H	428	
Psallidas A	428	
Ptochos F	428	
Qu H	428	
Quast G	428	
Rabady D	428	
Racz A	428	
Rahatlou S	428	
Rappoccio S	428	
Rathjens D	428	
Razis PA	428	
Re V	428	
Rebassoo F	428	
Regnard S	428	
Reithler H	428	
Ressegotti M	428	
Richards A	428	
Richman J	428	
Rieger M	428	
Rinkevicius A	428	
Robutti E	428	
Roh Y	428	
Rohe T	428	
Rohlf J	428	
Roland C	428	
Rovelli C	428	
Rusack R	428	
Ryd A	428	
Rykaczewski H	428	
Ryutin R	428	
Sagir S	428	
Sakulin H	428	
Salerno R	428	
Salur S	428	
Sarica U	428	
Sauvan JB	428	
Savin A	428	
Savrin V	428	
Schmitt MH	428	
Schnetzer S	428	
Schulte JF	428	
Schwandt J	428	
