NR,AU,AUNR
n154,"Saldana Espinel, Laura Estefania",1.0
n154,"Patino Benavidez, Andres Felipe",2.0
n154,"Rozo Agudelo, Nicolas",3.0
n154,"Gamboa Garay, Oscar Andres",4.0
n154,"Paneso Echeverry, Juan Esteban",5.0
n154,"Bernal Gutierrez, Marcela",6.0
n154,"Arevalo Pereira, Kenndy",7.0
n154,"Buitrago, Giancarlo",8.0
n155,"Humberto Villanueva, Angel",1.0
n155,"Lopez Gutierrez, Jose Julian",2.0
n156,"Osorio Castro, Daniela",1.0
n157,"Sierra Pardo, Claudia Patricia",1.0
n157,"Garzon Ospina, Luz Alexandra",2.0
n158,"Moreno Daza, Jonatan",1.0
n158,"Cardenas Quijano, Catalina",2.0
n158,"Rodriguez Zarate, Cesar Mauricio",3.0
n158,"Castiblanco Murcia, Alvaro Yadir",4.0
n159,"Henao-Kaffure, Liliana",1.0
n159,"Hernandez-Alvarez, Mario",2.0
n160,"Ojeda, Alejandro",1.0
n160,"Campo, Camilo",2.0
n161,"Oscar, Bravo",1.0
n161,"Diego, Hernandez",2.0
n162,"Sanchez Beliran, Carlos Andres",1.0
n163,"Vargas-Cruz, Jessica",1.0
n163,"Quintero-Arias, Giovanna",2.0
n163,"Acuna-Caita, John Fabio",3.0
n164,"Perez Fonseca, Luz Amparo",1.0
n165,"Pulido Castelblanco, Diana Paola",1.0
n165,"Pulecio Rivera, Cristian Camilo",2.0
n165,"Patino Chaves, Oskar Ivan",3.0
n166,"Rodriguez Jimenez, Pablo",1.0
n167,"Carreno-Moreno, Sonia",1.0
n167,"Chaparro-Diaz, Lorena",2.0
n167,"Mabel Carrillo, Gloria",3.0
n167,"Janneth Gomez-Ramirez, Olga",4.0
n168,"Aurelio Diaz, Jorge",1.0
n169,"David Escobar, Juan",1.0
n170,"Orozco Villa, Edisson Orlando",1.0
n171,"Silva, Renan",1.0
n172,"Villalobos-Gualteros, Juan",1.0
n172,"Ruiz-Martinez, Lida",2.0
n173,"Fajardo Valenzuela, Diogenes",1.0
n174,"Barragan, Diego Mauricio",1.0
n175,"Kursat Onder, Yasin",1.0
n175,"Villamizar-Villegas, Mauricio",2.0
n176,"Garcia-Guerrero, Claudia",1.0
n176,"Caicedo-Rosero, Angela, V",2.0
n176,"Delgado-Rodriguez, Cindy E.",3.0
n176,"Quijano-Guauque, Sara",4.0
