NR,AU,AUNR
n2808,"Torres Gomez, Mario Andres",2.0
n2809,"Morales-Mendez, Jonathan-David",1.0
n2809,"Silva-Rodriguez, Ramon",2.0
n2810,"Alejandra Musse, Monica",1.0
n2810,"Alberto Barona, Daniel",2.0
n2810,"Santana Rodriguez, Luis Marino",3.0
n2811,"Mejia-Guinand, Luis Bernardo",1.0
n2811,"Botero, Felipe",2.0
n2811,"Solano, Angelica",3.0
n2812,"Lidemberto Cardenas, John",1.0
n2812,"Guerrero, Carlos",2.0
n2813,"Ovallos, Maria Eugenia Bonilla",1.0
n2813,"Arenas, Maria Lucia Rivero",2.0
n2813,"Guevara, Nadia Perez",3.0
n2814,"Carlos Pedrozo-Pupo, John",1.0
n2814,"Armando Egurrola-Pedraza, Jorge",2.0
n2814,"Campo-Arias, Adalberto",3.0
n2815,"Vargas-Acevedo, Catalina",1.0
n2816,"Rosique, Francisca",1.0
n2816,"Losilla, Fernando",2.0
n2816,"Navarro, Pedro J.",3.0
n2817,"Alfonso Sarmiento, Maria Alejandra",1.0
n2818,"Collado Espejo, Pedro Enrique",1.0
n2819,"Hernan Ramirez, Hugo",1.0
n2820,"Parra, Andres F.",1.0
n2821,"Ramirez Rave, Juan Manuel",1.0
n2822,"Ruiz Vasquez, Nestor Fabian",1.0
n2823,"Torres-Florez, Dagoberto",1.0
n2823,"Diaz-Betancour, Diana Maritza",2.0
n2824,"Castillo Molina, David Alfredo",1.0
n2824,"Quiroga L, Clara A.",2.0
n2824,"Daniel Holguin, Luis",3.0
n2824,"Martinez, Z. Diego M.",4.0
n2824,"Romero Diaz, Yensi Lorena",5.0
n2824,"Blanco Gomez, Jennipher Andrea",6.0
n2824,"Jose Centeno, Maria",7.0
n2824,"Dubeibe, Paula",8.0
n2824,"Castillo, David E.",9.0
n2825,"Echeverri, Martin",1.0
n2826,"Molina Morales, Guillermo",1.0
n2826,"Reyes Negrete, Fredy Javier",2.0
n2827,"Ros, Ofelia",1.0
n2828,"Shirley Lopez-Gil, Karen",1.0
n2828,"Ramirez Osorio, Luz Stella",2.0
n2829,"Betancourt Ramirez, Elkin Arturo",1.0
n2830,"Giralso-Gomez, Olga",1.0
n2830,"Ivan Zuluaga-Giraldo, Jorge",2.0
n2830,"Naranjo-Gomez, Dulfari",3.0
n2831,"Montoya Lopez, Fredy A.",1.0
n2832,"Parra, Andres",1.0
n2833,"Rivera-Novoa, Angel",1.0
n2834,"Andres Arenas-Mendoza, Hugo",1.0
n2835,"Wilson, Bradley J.",1.0
n2836,"Araque-Bravo, Katherin",1.0
n2836,"Espinosa-Gutierrez, Gleciris",2.0
n2836,"Maestre-Zambrano, Heberto",3.0
n2837,"Lambis Loaiza, Laura Alejandra",1.0
n2838,"Reyes-Rojas, Monica",1.0
n2838,"Jaimes-Puentes, Yuly",2.0
n2838,"Patricia Bravo-Suarez, Angela",3.0
n2839,"Licon, Azuvia",1.0
n2840,"Alzate, Carolina",1.0
n2841,"Beltran Ladino, Gustavo Adolfo",1.0
n2841,"Carvajal Hernandez, Juan Sebastian",2.0
n2842,"Cuesta Medina, Liliana",1.0
n2842,"Alvarez Ayure, Claudia Patricia",2.0
n2842,"Cadena Aguilar, Albedro",3.0
n2842,"Jimenez Bonilla, Maria Sonia",4.0
n2842,"Maldonado Chacon, Pedro Pablo",5.0
n2842,"Morales Pulido, Virginia",6.0
n2843,"Puentes Cala, Mauricio",1.0
n2844,"Velasco Perez, Martin Enrique",1.0
n2845,"Rodriguez Ortiz, Angelica Maria",1.0
n2845,"Sosa Neira, Edgar Andres",2.0
n2846,"Andres Leyton-Flor, Samy",1.0
n2846,"Gordillo, Marisol",2.0
n2846,"Gonzalez, Paula A.",3.0
n2846,"Ospina, Johann A.",4.0
n2846,"Vargas, German",5.0
n2847,"Jose Moscarella-Brito, William",1.0
n2847,"Beatriz Vasquez-Sanchez, Elis",2.0
n2847,"Daniel Lopez-Juvinao, Danny",3.0
n2848,"Patino, Natalia",1.0
n2848,"Castellanos, Angelica",2.0
n2849,"Botero-Botero, Leon",1.0
n2849,"Giraldo-Gomez, Marcela",2.0
n2849,"Zuluaga-Jaramillo, Carolina",3.0
n2850,"Alfonso Barragan, Luis",1.0
n2851,"Bayona-Prieto, Jaime",1.0
n2851,"Antonio Calero Saa, Pedro",2.0
n2851,"Chaves Garcia, Marco Antonio",3.0
n2852,"Corredor Tapias, Joselyn",1.0
n2853,"Paredes Cisneros, Santiago",1.0
n2854,"Valencia Lopez, Harold",1.0
n2855,"Diaz Bejarano, Nicolas Santiago",1.0
n2856,"Buitrago-Florez, Francisco",1.0
n2856,"Danies, Giovanna",2.0
n2856,"Restrepo, Silvia",3.0
n2856,"Hernandez, Carola",4.0
n2857,"Prada Uribe, Julian Eduardo",1.0
n2858,"Monsalve Florez, Jhon Alexander",1.0
n2859,"Cadelo, Andrea",1.0
n2860,"Daniel Montana-Salas, Sergio",1.0
n2860,"Adrian Correa-Florez, Carlos",2.0
n2861,"Diaz Suarez, Ricardo Andres",1.0
n2861,"Moreno Moreno, Leidy Tatiana",2.0
n2861,"Sanjuan Vargas, Marlon Andres",3.0
n2861,"Prada Garcia, Carlos Alberto",4.0
n2861,"Dalmiro Torres, Luis",5.0
n2862,"Liliana Ramos-Quintero, Claudia",1.0
n2862,"Teresa Gomez-Ramirez, Maria",2.0
n2862,"Derly Hurtado-Pena, Diana",3.0
n2862,"Stephany Abril Rodriguez, Lorena",4.0
n2863,"Melo Balcazar, Samuel",1.0
n2864,"Pita Pico, Roger",1.0
n2865,"Diaz Jaramillo, Jose Abelardo",1.0
n2866,"Andrea Salinas-Arango, Natalia",1.0
n2866,"Sanmartin-Gaviria, Mateo",2.0
n2867,"Carlos Cortes-Murillo, John",1.0
n2868,"Rosas, Carlos Alberto",1.0
n2869,"Pineda Munoz, Edwin Alexis",1.0
n2869,"Gauthier Sellier, Alain",2.0
n2870,"Mora, C.",1.0
n2870,"Bastidas, A.",2.0
n2870,"Patino, J.",3.0
n2870,"Vera, J.",4.0
n2870,"Beltran, A.",5.0
n2870,"Mutis, C.",6.0
n2870,"Baron, C.",7.0
n2871,"Acevedo Tarazona, Alvaro",1.0
n2871,"Villabona Ardila, Juliana",2.0
n2872,"Cifuentes Sarmiento, Jose Alejandro",1.0
n2873,"Lopez-Lopez, Wilson",1.0
n2874,"Mora Vizcaya, Camilo Ernesto",1.0
n2875,"Murcia, E.",1.0
n2875,"Henao, J. C.",2.0
n2876,"Penagos-Carreno, Julian",1.0
n2877,"Martinez, Lina",1.0
n2878,"Sanchez, P.",1.0
n2878,"Cano, J.",2.0
n2878,"Garcia, D.",3.0
n2878,"Pinzon, A.",4.0
n2878,"Rodriguez, G.",5.0
n2878,"Garcia-Gonzalez, J.",6.0
n2878,"Perez, L.",7.0
n2879,"Cadelo, Andrea",1.0
n2880,"Navarro-Gomez, Marcely",1.0
n2880,"Ochoa-Angulo, Gloria M.",2.0
n2880,"Campo-Arias, Adalberto",3.0
n2881,"Casas Ramirez, Diego Alejandro",1.0
n2882,"Quevedo Alvarado, Maria Piedad",1.0
n2883,"Botero-Rodriguez, Felipe",1.0
n2883,"Acevedo Gonzalez, Juan Carlos",2.0
n2884,"Cadelo, Andrea",1.0
n2885,"Alejandra Cadena-Gaona, Jenny",1.0
n2885,"Duque Yoscua, Sergio Duvan",2.0
n2885,"Tovar Cortes, Robinson Alfredo",3.0
n2885,"Ballesteros Larrotta, Tania Marcela",4.0
n2886,"Arturo Santamaria, Jaime",1.0
n2887,"Burbano Vega, Robinson Alejandro",1.0
n2888,"Castiblanco, Olga",1.0
n2889,"Luciana Cadahia, Maria",1.0
n2890,"Trejos, O., I",1.0
n2891,"Vergara Ross, Andres E.",1.0
n2892,"Estrada Galeano, Alejandra",1.0
n2893,"Eduardo Hernandez, Carlos",1.0
n2894,"Cardona Londono, Juan Carlos",1.0
n2894,"Castano Franco, Ruth Elvira",2.0
n2895,"Estrada Rodriguez, Johanne Alexis",1.0
n2895,"Aponte Otalvaro, Jorge Enrique",2.0
n2896,"Roberto Mahecha-Espinosa, Danis",1.0
n2896,"Sanchez-Olarte, Henry",2.0
n2897,"Orlando Rico-Bonilla, Carlos",1.0
n2898,"Augusto Rocha, Cesar",1.0
n2899,"Bejarano, Alberto",1.0
n2900,"Escobar Triana, Jaime",1.0
n2901,"Herrera, Camilo",1.0
n2902,"Cervantes-Henriquez, Martha L.",1.0
n2902,"Acosta-Lopez, Johan E.",2.0
n2902,"Ahmad, Mostapha",3.0
n2902,"Sanchez-Rojas, Manuel",4.0
n2902,"Jimenez-Figueroa, Giomar",5.0
n2902,"Pineda-Alhucema, Wilmar",6.0
n2902,"Martinez-Banfi, Martha L.",7.0
n2902,"Noguera-Machacon, Luz M.",8.0
n2902,"Mejia-Segura, Elsy",9.0
n2902,"De La Hoz, Moises",10.0
n2902,"Arcos-Holzinger, Mauricio",11.0
n2902,"Pineda, David A.",12.0
n2902,"Puentes-Rozo, Pedro J.",13.0
n2902,"Arcos-Burgos, Mauricio",14.0
n2902,"Velez, Jorge, I",15.0
n2903,"Contreras-Ortiz, Natalia",1.0
n2903,"Rodriguez-Garcia, Teresa",2.0
n2903,"Quintanilla, Sonia",3.0
n2903,"Bernal-Villegas, Jaime",4.0
n2903,"Madrinan, Santiago",5.0
n2903,"Gomez-Gutierrez, Alberto",6.0
n2904,"Canas, A.",1.0
n2904,"Alvarez-Moreno, C.",2.0
n2904,"Le Pape, P.",3.0
n2904,"Ariza, B.",4.0
n2904,"Robinson, E.",5.0
n2904,"Alvarado, J.",6.0
n2904,"Caballero, A.",7.0
n2904,"Montanez, A.",8.0
n2905,"Giraldo-Ramirez, Sebastian",1.0
n2905,"Rendon-Marin, Santiago",2.0
n2905,"Jaimes, Javier A.",3.0
n2905,"Martinez-Gutierrez, Marlen",4.0
n2905,"Ruiz-Saenz, Julian",5.0
n2906,"Colmenares-Quintero, Ramon Fernando",1.0
n2906,"Quiroga-Parra, Dario Jesus",2.0
n2906,"Rojas, Natalia",3.0
n2906,"Stansfield, Kim E.",4.0
n2906,"Colmenares-Quintero, Juan Carlos",5.0
n2907,"Arrieta Lopez, Milton",1.0
n2908,"Puente Pacheco, Mario Alberto de la",1.0
n2908,"de Oro Aguado, Carlos Mario",2.0
n2908,"Lugo Arias, Elkyn",3.0
n2908,"Fontecha Pacheco, Briyis",4.0
n2909,"Gomez, Daniel",1.0
n2909,"Mendoza-Zuchini, Andres",2.0
n2909,"Pedraza, Mauricio",3.0
n2909,"Cabrera, Luis F.",4.0
n2909,"Pulido-Segura, Jean",5.0
n2910,"Atencio, Pedro",1.0
n2910,"Germane, Sanchez-Torres",2.0
n2910,"Branch, John William",3.0
n2910,"Delrieux, Claudio",4.0
n2911,"Bernal, Valentina",1.0
n2911,"Giraldo, Liliana",2.0
n2911,"Carlos Moreno-Pirajan, Juan",3.0
n2912,"Fonseca Guzman, Maria Alejandra",1.0
n2912,"Felipe Duarte, Julian",2.0
n2913,"Gomez, A. M.",1.0
n2913,"Henao-Carillo, D. C.",2.0
n2913,"Taboada, L.",3.0
n2913,"Fuentes, O.",4.0
n2913,"Lucero, O.",5.0
n2913,"Sanko, A.",6.0
n2913,"Robledo, M. A.",7.0
n2913,"Munoz, O.",8.0
n2913,"Rondon, M.",9.0
n2913,"Garcia-Jaramillo, M.",10.0
n2913,"Leon-Vargas, F.",11.0
n2914,"Faccini-Martinez, Alvaro A.",1.0
n2914,"Rivero, Ricardo",2.0
n2914,"Garay, Evelin",3.0
n2914,"Garcia, Alejandra",4.0
n2914,"Mattar, Salim",5.0
n2914,"Botero, Yesica",6.0
n2914,"Galeano, Ketty",7.0
n2914,"Miranda, Jorge",8.0
n2914,"Martinez, Caty",9.0
n2914,"Guzman, Camilo",10.0
n2914,"Arrieta, German",11.0
n2914,"Contreras, Hector",12.0
n2914,"Kerguelen, Hugo",13.0
n2914,"Moscote, Maria",14.0
n2914,"Brango, Eimi",15.0
n2914,"Contreras, Veronica",16.0
n2915,"Rangel-Medrano, Jose D.",1.0
n2915,"Ortega-Lara, Armando",2.0
n2915,"Marquez, Edna J.",3.0
n2916,"Rodriguez, Veronica",1.0
n2916,"Roman, Julieth T.",2.0
n2916,"Fierro, Ricardo",3.0
n2916,"Rivera, Zuly J.",4.0
n2916,"Garcia, Javier E.",5.0
n2917,"Ramirez Marin, Juan David",1.0
n2917,"Botero Rendon, Maria del Pilar",2.0
n2918,"Rojas-Bustamante, Marcela",1.0
n2918,"Pena-Stadlin, Juliana",2.0
n2918,"Buitrago, Diana",3.0
n2918,"Henao-Duque, Ana Maria",4.0
n2919,"Giraldo Giraldo, Ana Maria",1.0
n2919,"Carrasquilla Ospina, Jesus",2.0
n2919,"Velazco Romero, Ever",3.0
n2920,"Santiago Garcia-Chicangana, David",1.0
n2920,"Santiago Lopez-Erazo, Oscar",2.0
n2920,"Gonzalez, Carolina",3.0
n2920,"Munoz, Jorge",4.0
n2920,"Alberto Jimenez-Builes, Jovani",5.0
n2921,"Garcia-Alfonso, Carolina",1.0
n2921,"Molina, Nancy",2.0
n2921,"Millan, Sonia",3.0
n2922,"Rico-Silva, Jose F.",1.0
n2922,"Cruz-Trujillo, Emmy J.",2.0
n2922,"Colorado Z, Gabriel J.",3.0
n2923,"Pineda, Jesus",1.0
n2923,"Bacca, Jorge",2.0
n2923,"Meza, Jhacson",3.0
n2923,"Romero, Lenny A.",4.0
n2923,"Arguello, Henry",5.0
n2923,"Marrugo, Andres G.",6.0
n2924,"Garzon, Alejandro",1.0
n2924,"Rodriguez, Wilmar",2.0
n2924,"Cristancho, Fernando",3.0
n2924,"Tao, Molei",4.0
n2925,"Miguel Perez-Archila, Luis",1.0
n2925,"David Bastidas Rodriguez, Juan",2.0
n2925,"Correa, Rodrigo",3.0
n2926,"Alberto Bermudez, Mauricio",1.0
n2926,"Flores-Ferrin, Marlene",2.0
n2927,"Ofelia Narvaez-Eraso, Carmen",1.0
n2927,"Efrain Diaz-Delgado, Alexander",2.0
n2927,"Yajaira Berbesi-Fernandez, Dedsy",3.0
n2928,"Ritterbusch, Amy E.",1.0
n2928,"Correa Salazar, Catalina",2.0
n2928,"Correa, Andrea",3.0
n2929,"Maria Parra-Rodas, Luisa",1.0
n2929,"Parra-Rodas, Elizabeth",2.0
n2929,"Jose Jimenez-Villegas, Maria",3.0
n2929,"Cartagena-Agudelo, Yulieth",4.0
n2929,"Cabrera-Hemer, Dagoberto",5.0
n2930,"Espinoza-Merchan, M. P.",1.0
n2930,"Torres-Parra, L. J.",2.0
n2930,"Rojas-Arias, N.",3.0
n2930,"Coha-Vesga, P. M.",4.0
n2931,"Alejandra Puentes-Tellez, Maria",1.0
n2931,"Andrea Lerma-Barbosa, Paula",2.0
n2931,"Guillermo Garzon-Jaramillo, Rafael",3.0
n2931,"Suarez, Diego A.",4.0
n2931,"Espejo-Mojica, Angela J.",5.0
n2931,"Guevara, Johana M.",6.0
n2931,"Yaneth Echeverri, Olga",7.0
n2931,"Solano-Galarza, Daniela",8.0
n2931,"Uribe-Ardila, Alfredo",9.0
n2931,"Almeciga-Diaz, Carlos J.",10.0
n2932,"Toro-Londono, Miguel A.",1.0
n2932,"Bedoya-Urrego, Katherine",2.0
n2932,"Garcia-Montoya, Gisela M.",3.0
n2932,"Galvan-Diaz, Ana L.",4.0
n2932,"Alzate, Juan F.",5.0
n2933,"Gonzalez, Leydy P.",1.0
n2933,"Pacheco, M. Andreina",2.0
n2933,"Escalante, Ananias A.",3.0
n2933,"Jimenez Maldonado, Andres David",4.0
n2933,"Cepeda, Axl S.",5.0
n2933,"Rodriguez-Fandino, Oscar A.",6.0
n2933,"Vargas-Ramirez, Mario",7.0
n2933,"Matta, Nubia E.",8.0
n2934,"Navarro Quiroz, Elkin",1.0
n2934,"Quiroz, Roberto Navarro",2.0
n2934,"Pacheco Lugo, Lisandro",3.0
n2934,"Aroca Martinez, Gustavo",4.0
n2934,"Gomez Escorcia, Lorena",5.0
n2934,"Gonzalez Torres, Henry",6.0
n2934,"Cadena Bonfanti, Andres",7.0
n2934,"del Carmen Marmolejo, Maria",8.0
n2934,"Sanchez, Eduardo",9.0
n2934,"Villarreal Camacho, Jose Luis",10.0
n2934,"Lorenzi, Hernan",11.0
n2934,"Torres, Augusto",12.0
n2934,"Fernando Navarro, Kelvin",13.0
n2934,"Navarro Rodriguez, Pablo",14.0
n2934,"Luis Villa, Joe",15.0
n2934,"Fernandez-Ponce, Cecilia",16.0
n2935,"Callejas-Cuervo, Mauro",1.0
n2935,"Pineda-Rojas, Jairo A.",2.0
n2935,"Daza-Wittinghan, William A.",3.0
n2936,"Barrera, Lena",1.0
n2936,"Gomez, Fernando",2.0
n2936,"Ortega-Lenis, Delia",3.0
n2936,"Corchuelo Ojeda, Jairo",4.0
n2936,"Mendez, Fabian",5.0
n2937,"Velandia, Francisco",1.0
n2937,"Bermudez, Mauricio A.",2.0
n2938,"Poveda-Giraldo, Jhonny A.",1.0
n2938,"Alzate, Carlos A. Cardona",2.0
n2939,"Gonzalez-Aguirre, Jose-Andres",1.0
n2939,"Camilo Solarte-Toro, Juan",2.0
n2939,"Cardona Alzate, Carlos Ariel",3.0
n2940,"Pablo Mallarino-Robayo, Juan",1.0
n2940,"Ferrero-Botero, Alejandro",2.0
n2941,"Olivera, Mario J.",1.0
n2941,"Chaverra, Kevin A.",2.0
n2942,"Uribe-Henao, A. Felipe",1.0
n2942,"Zapata-Medina, David G.",2.0
n2942,"Arboleda-Monsalve, Luis G.",3.0
n2942,"Dario Aristizabal-Ochoa, J.",4.0
n2943,"Garcia Garcia, Miguel Angel",1.0
n2943,"Arevalo Duarte, Mayra Alejandra",2.0
n2943,"Hernandez Suarez, Cesar Augusto",3.0
n2944,"Ernesto, Barcelo",1.0
n2944,"Maria Camila, Navarro",2.0
n2944,"Melissa, Gelves-Ospina",3.0
n2944,"Fernando, Rodrigues",4.0
n2944,"Pedro, Rosa",5.0
n2944,"Erick, Orozco",6.0
n2944,"Juan Camilo, Benitez",7.0
n2945,"Pardo, Juan M.",1.0
n2945,"Lopez-Alvarez, Diana",2.0
n2945,"Ceballos, German",3.0
n2945,"Alvarez, Elizabeth",4.0
n2945,"Cuellar, Wilmer J.",5.0
n2946,"Bayona-Pacheco, Brayan",1.0
n2946,"Acosta-Reyes, Jorge",2.0
n2946,"Navarro, Edgar",3.0
n2946,"San-Juan, Homero",4.0
n2946,"Bula, Johan",5.0
n2946,"Baquero, Hernando",6.0
n2947,"Herrera-Idarraga, Paula",1.0
n2947,"Adrian Garlati-Bertoldi, Pablo",2.0
n2947,"David Torres, Juan",3.0
n2948,"Acero-Garces, David",1.0
n2948,"Zuluaga-Lotero, Daniela",2.0
n2948,"Ortiz-Munoz, Daniela",3.0
n2948,"Arango, Gloria",4.0
n2948,"Parra, Beatriz",5.0
n2949,"Buitrago Espitia, Evelyn Gabriela",1.0
n2950,"Herrera, S.",1.0
n2950,"Diaz-Coronado, J. C.",2.0
n2950,"Rojas-Gualdron, D.",3.0
n2950,"Betancur-Vasquez, L.",4.0
n2950,"Gonzalez-Hurtado, D.",5.0
n2950,"Gonzalez-Arango, J.",6.0
n2950,"Uribe-Arango, L.",7.0
n2950,"Saavedra Chacon, M. F.",8.0
n2950,"Lacouture-Fierro, J.",9.0
n2950,"Monsalve, S.",10.0
n2950,"Guerra-Zarama, S.",11.0
n2950,"Lopez, J. D.",12.0
n2950,"Serna, J. D.",13.0
n2950,"Barbosa, J.",14.0
n2950,"Sierra, A.",15.0
n2950,"Hernandez-Parra, D.",16.0
n2950,"Pineda-Tamayo, R.",17.0
n2951,"Correa, H.",1.0
n2951,"Pena Lara, D.",2.0
n2951,"Vargas, R. A.",3.0
n2952,"Mejia, Andres",1.0
n2952,"Patricio Marino, Julian",2.0
n2952,"Molina, Adriana",3.0
n2953,"Figueroa Salamanca, Helwar",1.0
n2953,"Corredor Espitia, Julian David",2.0
n2954,"Munoz, Yaromir",1.0
n2954,"Lopez Gallego, Francisco",2.0
n2954,"Arias Salazar, Alejandro",3.0
n2954,"Serna Rodriguez, Maribel",4.0
n2955,"Sanchez, Jorge",1.0
n2955,"Velasquez, Margarita",2.0
n2955,"Jaimes, Fabian",3.0
n2956,"Mejia, A.",1.0
n2956,"Zambrano, Y.",2.0
n2956,"Arias, W.",3.0
n2956,"Bedoya, G.",4.0
n2956,"Jaramillo, R.",5.0
n2956,"Gomez, S.",6.0
n2956,"Rodas, Y.",7.0
n2956,"Navarro, E.",8.0
n2956,"Ossa, A.",9.0
n2956,"Borrero, M.",10.0
n2956,"Cock-Rada, A.",11.0
n2956,"Angel, G.",12.0
n2956,"Dean, M.",13.0
n2956,"Sanchez, G.",14.0
n2957,"Sanchez-Torres, L.",1.0
n2957,"Toro, A.",2.0
n2957,"Murcia, H.",3.0
n2957,"Borrero, C.",4.0
n2957,"Delgado, R.",5.0
n2957,"Gomez-Arango, J.",6.0
n2958,"Maria Munoz, Angela",1.0
n2958,"Estrada, Manuela",2.0
n2958,"Quintero, Jaime A.",3.0
n2958,"Unnana, Mauricio",4.0
n2959,"Mattar, Salim",1.0
n2959,"Martinez-Bravo, Caty",2.0
n2959,"Rivero, Ricardo",3.0
n2959,"Contreras, Hector",4.0
n2959,"Faccini-Martinez, Alvaro A.",5.0
n2959,"Guzman-Teran, Camilo",6.0
n2959,"Galeano, Ketty",7.0
n2959,"Alvis-Guzman, Nelson",8.0
n2959,"Contreras, Veronica",9.0
n2959,"Arrieta, German",10.0
n2959,"Gonzalez-Tous, Marco",11.0
n2959,"Miranda, Jorge",12.0
n2959,"Ospina, Martha",13.0
n2959,"Camargo-Assis, Francisco",14.0
n2959,"Mercado-Reyes, Marcela",15.0
n2959,"Garay, Evelyn",16.0
n2959,"Garcia-Perez, Alejandra",17.0
n2959,"Lopez, Yesica",18.0
n2959,"Tique, Vaneza",19.0
n2960,"Arrieta, German",1.0
n2960,"Mattar, Salim",2.0
n2960,"Villero-Wolf, Yeneiris",3.0
n2960,"Gomezcaceres, Luty",4.0
n2960,"Doria, Amanda",5.0
n2961,"Lopez-Vasquez, A.",1.0
n2961,"Colina, J. A.",2.0
n2961,"Machuca-Martinez, Fiderman",3.0
n2962,"Abolghasem, Sepideh",1.0
n2962,"Solano, Felipe",2.0
n2962,"Bedoya, Claudia D.",3.0
n2962,"Navas, Lina P.",4.0
n2962,"Paola Rios, Ana",5.0
n2962,"Pinzon, Edwin A.",6.0
n2962,"Medaglia, Andres L.",7.0
n2962,"Sarmiento, Olga L.",8.0
n2963,"Narvaez-Gomez, German",1.0
n2963,"Figueroa-Florez, Jorge",2.0
n2963,"Salcedo-Mendoza, Jairo",3.0
n2963,"Perez-Cervera, Carmen",4.0
n2963,"Andrade-Pizarro, Ricardo",5.0
n2964,"Munoz Cardona, Marta Lucia",1.0
n2964,"Lopez Mahecha, Jorge Mario",2.0
n2965,"Hoyos Pulgarin, Julian Andres",1.0
n2965,"Alzate Piedrahita, John Alexander",2.0
n2965,"Moreno Gomez, German Alberto",3.0
n2965,"Sierra Palacio, Juan Felipe",4.0
n2965,"Ordonez, Karen Melissa",5.0
n2965,"Arias Ramos, Deving",6.0
n2966,"Pinilla, Andres",1.0
n2966,"Ramirez, Luis",2.0
n2966,"Asuaje, Miguel",3.0
n2966,"Ratkovich, Nicolas",4.0
n2967,"Ramirez Marmolejo, Roberto",1.0
n2967,"Munoz Zapata, Luis Miguel",2.0
n2967,"Garcia Blanco, Laura",3.0
n2968,"Duran-Fuentes, Jeferson",1.0
n2968,"Gracia C, Adriana",2.0
n2969,"Padilla Escorcia, Ivan Andres",1.0
n2969,"Mayoral Vinas, Vanessa del Carmen",2.0
n2970,"Alfonso Ballesteros-Ballesteros, Vladimir",1.0
n2970,"Patricia Gallego-Torres, Adriana",2.0
n2971,"Cifuentes Alvarez, Gary Alberto",1.0
n2971,"Herrera Velasquez, Diana Alejandra",2.0
n2972,"Rodriguez Martinez, Guillermo Andres",1.0
n2972,"Castillo Parra, Henry",2.0
n2973,"Fernando Colmenares-Quintero, Ramon",1.0
n2973,"David Goez-Sanchez, German",2.0
n2973,"Carlos Colmenares-Quintero, Juan",3.0
n2973,"Fernando Latorre-Noguera, Luis",4.0
n2973,"Kasperczyk, Damian",5.0
n2974,"Suarez-Avellaneda, Ana",1.0
n2974,"Quintana, Jhon H.",2.0
n2974,"Aragon, Cristian C.",3.0
n2974,"Gallego, Linda M.",4.0
n2974,"Gallego, Cindy-Natalia",5.0
n2974,"Bolanos, Juan D.",6.0
n2974,"Guerra, Maria A.",7.0
n2974,"Ochoa, Maria Elena",8.0
n2974,"Granados, Marcela",9.0
n2974,"Ruiz-Ordonez, Ingrid",10.0
n2974,"Tobon, Gabriel J.",11.0
n2975,"Caicedo, J. C.",1.0
n2975,"Aperador, W.",2.0
n2975,"Saldarriaga, W.",3.0
n2976,"Carlos Pinilla, Juan",1.0
n2976,"Florez, Paola",2.0
n2976,"Sierra, Marly T.",3.0
n2976,"Morales, Elsa",4.0
n2976,"Sierra, Raul",5.0
n2976,"Cristina Vasquez, Maria",6.0
n2976,"Cesar Tobon, Julio",7.0
n2976,"Sanchez, Alfredo",8.0
n2976,"Ortiz, Diego",9.0
n2977,"Arboleda, Gloria Maria Lopez",1.0
n2977,"Jimenez, Guillermo Echeverri",2.0
n2978,"Molina-Barrera, Angela Marcela",1.0
n2978,"Ramos-Ulloa, Jose Gustavo",2.0
n2978,"Becerra-Mendez, Luis Miguel",3.0
n2978,"Garcia-Valencia, Jenny",4.0
n2978,"Varela-Ramirez, Rodolfo",5.0
n2978,"Silva-Chacon, Daniela",6.0
n2979,"Hernandez Salgar, Oscar",1.0
n2979,"Gomez Nieto, Diego Alberto",2.0
n2979,"Gomez Rojas, Juan Daniel",3.0
n2979,"Mendoza Castro, Maria Camila",4.0
n2979,"Mesa Martinez, Luis Gabriel",5.0
n2979,"Molina Bohorquez, Laura Rocio",6.0
n2979,"Valencia Rueda, Luis Fernando",7.0
n2979,"Guevara Prieto, Julio Cesar",8.0
n2980,"Galvis, Virgilio",1.0
n2980,"Tello, Alejandro",2.0
n2980,"Otero, Johana",3.0
n2980,"Serrano, Andres A.",4.0
n2980,"Maria Gomez, Luz",5.0
n2980,"Camacho, Paul A.",6.0
n2980,"Patricio Lopez-Jaramillo, Jose",7.0
n2981,"Lopez-Alvarez, Diana",1.0
n2981,"Leiva, Ana M.",2.0
n2981,"Barrantes, Israel",3.0
n2981,"Pardo, Juan M.",4.0
n2981,"Dominguez, Viviana",5.0
n2981,"Cuellar, Wilmer J.",6.0
n2982,"Leon-Torres, Andres",1.0
n2982,"Arango, Epifania",2.0
n2982,"Castillo, Eliana",3.0
n2982,"Soto, Carlos Y.",4.0
n2983,"Monroy-Mena, Santiago",1.0
n2983,"Chacon-Parra, Aura L.",2.0
n2983,"Farfan-Angarita, Julieth P.",3.0
n2983,"Martinez-Peralta, Sixta T.",4.0
n2983,"Ardila-Barrantes, Harold D.",5.0
n2984,"Santos-Moreno, Pedro",1.0
n2984,"Rodriguez-Vargas, Gabriel-Santiago",2.0
n2984,"Casanova, Rosangela",3.0
n2984,"Rubio-Rubio, Jaime-Andres",4.0
n2984,"Chavez-Chavez, Josefina",5.0
n2984,"Rivera-Triana, Diana Patricia",6.0
n2984,"Castiblanco-Montanez, Ruth Alexandra",7.0
n2984,"Hernandez-Zambrano, Sandra Milena",8.0
n2984,"Villareal, Laura",9.0
n2984,"Rojas-Villarraga, Adriana",10.0
n2985,"Linares, M. S.",1.0
n2985,"Vinck-Posada, H.",2.0
n2985,"Gomez, Edgar A.",3.0
n2986,"Gavio, Brigitte",1.0
n2987,"Gerlein, Eduardo A.",1.0
n2987,"Diaz-Guevara, Gabriel",2.0
